nation,id,att,mid,def,fifa_rank,titles,elo_rating
Australia,australia,69,73,71,36,0,1743
Iran,iran,74,73,73,37,0,1790
Japan,japan,76,78,73,61,0,1684
Saudi Arabia,saudi_arabia,73,73,73,67,0,1588
South Korea,south_korea,70,74,69,57,0,1713
Egypt,egypt,77,77,74,45,0,1639
Morocco,morocco,74,77,77,41,0,1731
Nigeria,nigeria,75,76,72,48,0,1681
Senegal,senegal,77,77,76,27,0,1745
Tunisia,tunisia,72,72,70,21,0,1652
Costa Rica,costa_rica,69,73,73,23,0,1742
Mexico,mexico,81,79,77,15,0,1849
Panama,panama,68,69,69,55,0,1657
Argentina,argentina,86,83,81,5,2,1985
Brazil,brazil,87,85,86,2,5,2141
Colombia,colombia,81,77,78,16,0,1927
Peru,peru,73,72,71,11,0,1915
Uruguay,uruguay,86,77,80,14,2,1893
Belgium,belgium,85,82,84,3,0,1935
Croatia,croatia,81,82,78,20,0,1853
Denmark,denmark,76,78,76,12,0,1854
England,england,84,81,80,12,1,1947
France,france,85,85,82,7,1,1986
Germany,germany,85,85,85,1,4,2076
Iceland,iceland,76,78,74,22,0,1764
Poland,poland,83,78,78,8,0,1830
Portugal,portugal,88,83,82,4,0,1967
Russia,russia,80,78,76,70,0,1676
Serbia,serbia,76,81,78,34,0,1787
Spain,spain,84,86,85,10,1,2043
Sweden,sweden,78,76,77,24,0,1793
Switzerland,switzerland,76,77,78,6,0,1888
